Es,Ms
"38594,""2,1"""
"38204,""2,3"""
"38608,""2,5"""
"37058,""2,2"""
38058,2
"38943,""2,1"""
38593,2
"38602,""2,2"""
"36745,""1,5"""
"38357,""1,9"""
"36282,""1,9"""
"39671,""1,5"""
"38192,""1,8"""
"38221,""2,7"""
35714,2
"36634,""2,3"""
"39527,""2,6"""
"35626,""1,6"""
"37220,""1,8"""
"37930,""1,4"""
"39476,""2,1"""
"40409,""1,5"""
"38032,""1,7"""
"36054,""1,4"""
"38015,""1,1"""
"38217,""1,3"""
"37055,""2,3"""
"38021,""1,3"""
"39874,""2,1"""
"38095,""2,9"""
"38102,""0,8"""
"38007,""1,2"""
"38261,""2,1"""
"38373,""1,5"""
"38104,""1,3"""
"38319,""1,4"""
"37845,""1,6"""
"38944,""1,9"""
"43096,""1,2"""
"38525,""1,2"""
"38856,""2,7"""
"41154,""2,7"""
"38441,""1,6"""
"37373,""1,6"""
"35134,""1,8"""
"38086,""1,6"""
38204,2
"37808,""2,2"""
"36296,""3,2"""
"37822,""1,9"""
"38295,""1,9"""
"37409,""2,4"""
"36677,""1,4"""
"39629,""1,6"""
"37591,""1,9"""
36672,2
"37769,""2,3"""
"37643,""1,7"""
41207,1
39065,1
"37208,""2,1"""
38160,1
"39574,""2,5"""
"39898,""2,2"""
"37421,""1,8"""
"38254,""1,6"""
38211,1
"37256,""2,3"""
"38359,""2,1"""
"38321,""2,3"""
"37555,""2,5"""
"37522,""2,2"""
38177,2
"37492,""2,1"""
41307,2
"37505,""2,2"""
"37823,""1,5"""
"41366,""1,9"""
"36622,""1,9"""
"37799,""1,5"""
"38469,""1,8"""
"38236,""2,7"""
38154,2
"38282,""2,3"""
"37676,""2,6"""
"37584,""1,6"""
"36338,""1,8"""
"38191,""1,4"""
"37663,""2,1"""
"37669,""1,5"""
"40724,""2,9"""
"37752,""2,2"""
"37827,""2,1"""
